t_global,episode,t,action,belief_toxic,inventory,regime,reward
328,16,8,2,0.1826,1,1,-1.55
329,16,9,1,0.5176,0,1,-0.0
330,16,10,1,0.7845,0,1,-0.0
331,16,11,1,0.8917,0,1,-0.0
332,16,12,1,0.9227,0,1,-0.0
333,16,13,1,0.5037,0,1,-0.0
334,16,14,1,0.7772,0,1,-0.0
335,16,15,1,0.3783,0,1,-0.0
336,16,16,0,0.1502,0,0,2.0
337,16,17,2,0.0642,1,0,-0.35
338,16,18,0,0.037,0,0,2.0
339,16,19,2,0.0289,1,0,-0.35
340,17,0,1,0.2,0,0,-0.0
341,17,1,0,0.0811,0,0,2.0
342,17,2,1,0.3677,1,0,-0.05
343,17,3,2,0.1457,1,0,-0.35
344,17,4,0,0.0627,0,0,2.0
345,17,5,0,0.0365,1,0,1.95
346,17,6,2,0.0288,2,0,-0.4
347,17,7,0,0.0265,1,0,1.95
348,17,8,2,0.0258,2,0,-0.4
349,17,9,0,0.0256,1,0,1.95
350,17,10,2,0.0256,2,0,-0.4
351,17,11,2,0.2575,1,0,-0.35
352,17,12,0,0.1018,0,0,2.0
353,17,13,2,0.0486,1,0,-0.35
354,17,14,0,0.0323,0,0,2.0
355,17,15,2,0.2723,1,0,-0.35
356,17,16,0,0.1074,0,0,2.0
357,17,17,2,0.0503,1,0,-0.35
358,17,18,0,0.0328,0,0,2.0
359,17,19,2,0.0277,1,0,-0.35
360,18,0,1,0.2,0,1,-0.0
361,18,1,1,0.5385,0,1,-0.0
362,18,2,1,0.795,0,1,-0.0
363,18,3,1,0.895,0,1,-0.0
364,18,4,1,0.4773,0,0,-0.0
365,18,5,1,0.1957,0,0,-0.0
366,18,6,0,0.0796,0,0,2.0
367,18,7,0,0.0417,1,0,1.95
368,18,8,2,0.2921,2,0,-0.4
369,18,9,2,0.115,1,0,-0.35
370,18,10,0,0.0527,0,0,2.0
371,18,11,0,0.0336,1,0,1.95
372,18,12,2,0.0279,2,0,-0.4
373,18,13,0,0.0262,1,0,1.95
374,18,14,2,0.259,2,0,-0.4
375,18,15,2,0.1024,1,0,-0.35
376,18,16,0,0.0487,0,0,2.0
377,18,17,0,0.0324,1,0,1.95
378,18,18,2,0.0275,2,0,-0.4
379,18,19,2,0.0261,1,0,-0.35
380,19,0,1,0.2,0,1,-0.0
381,19,1,1,0.5385,0,1,-0.0
382,19,2,1,0.2268,0,0,-0.0
