variant,fold,year,return_pct,sharpe,max_drawdown,turnover_l1_mean,stock_turnover_l1_mean,transaction_cost_mean,cash_weight_mean,projection_residual_l1_mean,benchmark_return_pct,benchmark_sharpe,benchmark_max_drawdown,run_dir,return_minus_benchmark,sharpe_minus_benchmark,drawdown_minus_benchmark,beats_return,beats_sharpe,drawdown_better,mean_approx_kl,p95_approx_kl,max_approx_kl,mean_clip_fraction,p95_clip_fraction,max_clip_fraction,early_stop_rate,mean_value_loss
flat_dirichlet_pi,fold_2020,2020,0.1506137285558784,0.5810667499097588,-0.3219441955955523,0.0181270659030899,0.0138205038915729,1.382050389157291e-05,0.0393968818483815,0.0475058626895521,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pi\fold_2020\weight_based_initial_grid\flat_dirichlet_pi\fold_2020,-0.0034597980499994907,-0.002820861144995024,0.0072144675764203026,False,False,True,0.004005550414106586,0.00815562425414096,0.0108169545419514,0.14378865559895834,0.28986816406249993,0.32373046875,0.0,1.832495366127739
flat_dirichlet_pi,fold_2021,2021,0.1826851506202569,1.5218900557014674,-0.060829787307999,0.0180317919148171,0.0137482687766932,1.3748268776693267e-05,0.0357174406429211,0.0475192780833646,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pi\fold_2021\weight_based_initial_grid\flat_dirichlet_pi\fold_2021,-0.024000607554153897,-0.1370670199376911,0.0015850760077256026,False,False,True,0.003996934357190139,0.00848292891168963,0.0150612732395529,0.13331393781623385,0.28271484375,0.3486328125,0.000731528895391368,1.9848513168350395
flat_dirichlet_pid,fold_2018,2018,0.0209070698463531,0.2071141754364287,-0.157941244011542,0.0185285502571493,0.0143910524075086,1.4391052407508692e-05,0.0445358106940984,0.0329294095949712,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pid\fold_2018\weight_based_initial_grid\flat_dirichlet_pid\fold_2018,-0.012561715009425704,-0.0692232890283295,0.002110187141853209,False,False,True,0.0038284593131065934,0.008000770048238274,0.0113159467000514,0.13093885157772903,0.2815470377604166,0.331298828125,0.0,2.9993143516571013
flat_dirichlet_pid,fold_2019,2019,0.2652155925015518,2.193597087995105,-0.0576057032874931,0.0144024037360047,0.0102990410123119,1.029904101231194e-05,0.0357329491414575,0.0335710703492435,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pid\fold_2019\weight_based_initial_grid\flat_dirichlet_pid\fold_2019,-0.024263657464911714,0.01819795978430383,0.001419186505362699,False,True,True,0.004224083471235284,0.008707462856545957,0.0130320165771991,0.14599242291067066,0.29816080729166666,0.372314453125,0.0014652014652014652,3.0373687889932457
flat_dirichlet_pid,fold_2020,2020,0.1623772283669591,0.6101601536760902,-0.3200497106647975,0.020233322703036,0.0159605108767116,1.5960510876711645e-05,0.0344318700436916,0.0338318841283425,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pid\fold_2020\weight_based_initial_grid\flat_dirichlet_pid\fold_2020,0.008303701761081195,0.02627254262133638,0.009108952507175139,True,True,True,0.004096445521689995,0.008553645136998899,0.012812957400456,0.14331411618238304,0.29605712890624997,0.3636067708333333,0.0,3.140436991080104
flat_dirichlet_pid,fold_2021,2021,0.182842854119805,1.552366550417236,-0.0588177248653216,0.0161164889316875,0.0118646478426399,1.186464784263995e-05,0.0432914216293994,0.0329967383374298,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\flat_dirichlet_pid\fold_2021\weight_based_initial_grid\flat_dirichlet_pid\fold_2021,-0.02384290405460579,-0.10659052522192258,0.0035971384504029993,False,False,True,0.00391111497430103,0.008404081099433759,0.0115329758264124,0.13086407458805432,0.28265787760416666,0.3369140625,0.0,3.3548477509869694
hierarchical_dirichlet_p,fold_2018,2018,-0.0025427529195664,0.0529885529071837,-0.1264077191829642,0.0151991190061492,0.0112239395875727,1.1223939587572752e-05,0.1511039137244224,1.139366379021567e-16,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_p\fold_2018\weight_based_initial_grid\hierarchical_dirichlet_p\fold_2018,-0.0360115377753452,-0.22334891155757453,0.033643711970431006,False,False,True,0.004601733793396213,0.009098221245221779,0.0169636532664299,0.17806530920407163,0.3313069661458333,0.38671875,0.003679175864606328,3.560468552091337
hierarchical_dirichlet_p,fold_2019,2019,0.1997019772568395,2.088912693076899,-0.0450575782905188,0.0136023403301239,0.0095144647535222,9.514464753522224e-06,0.1661965277684162,1.285302237594011e-16,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_p\fold_2019\weight_based_initial_grid\hierarchical_dirichlet_p\fold_2019,-0.08977727270962402,-0.08648643513390208,0.013967311502337001,False,False,True,0.004813901611801198,0.00951188751496371,0.0140059314047296,0.1891588141604298,0.34477539062499996,0.41552734375,0.0029411764705882353,3.64462570921898
hierarchical_dirichlet_p,fold_2020,2020,0.0634664585643842,0.3545503639976495,-0.2984260279222921,0.0163212276288841,0.0119010118995162,1.1901011899516234e-05,0.1956771580827614,1.3245852827280052e-16,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_p\fold_2020\weight_based_initial_grid\hierarchical_dirichlet_p\fold_2020,-0.0906070680414937,-0.22933724705710434,0.030732635249680507,False,False,True,0.004650913085933534,0.00927283681812688,0.014642787631601,0.18631760046279325,0.3392089843749999,0.39892578125,0.001466275659824047,3.736321751681387
hierarchical_dirichlet_p,fold_2021,2021,0.1509538381399899,1.4335662342966289,-0.0488835320539507,0.0159557717614885,0.0117615657297582,1.1761565729758254e-05,0.1784185866316951,1.3188390729214111e-16,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_p\fold_2021\weight_based_initial_grid\hierarchical_dirichlet_p\fold_2021,-0.0557319200344209,-0.22539084134252962,0.013531331261773902,False,False,True,0.00445020237612868,0.0092097488231956,0.0150141492486,0.16518807019960816,0.326904296875,0.3958333333333333,0.0029390154298310064,3.99445761519546
hierarchical_dirichlet_pd,fold_2018,2018,-0.0038177345800821,0.0392319505052606,-0.1198945954008929,0.0179232033723144,0.013894321592263,1.3894321592263036e-05,0.1899642273783683,5.273616179989905e-05,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pd\fold_2018\weight_based_initial_grid\hierarchical_dirichlet_pd\fold_2018,-0.03728651943586091,-0.2371055139594976,0.04015683575250231,False,False,True,0.004377296938609465,0.00946501764701675,0.014743683549265,0.16051379743990468,0.33895263671875,0.396484375,0.0051698670605613,6.02932238285097
hierarchical_dirichlet_pd,fold_2019,2019,0.1934476750170688,2.0492124685367825,-0.0464143551400855,0.0147009573438077,0.0108165028787021,1.0816502878702124e-05,0.1833771410216373,5.439252110768796e-05,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pd\fold_2019\weight_based_initial_grid\hierarchical_dirichlet_pd\fold_2019,-0.09603157494939471,-0.12618665967401865,0.012610534652770296,False,False,True,0.004482077351505158,0.009460887487512035,0.0138658005744218,0.17391906776805438,0.3432861328125,0.403076171875,0.003681885125184094,6.188483686162463
hierarchical_dirichlet_pd,fold_2020,2020,0.0678311137041123,0.3655990598839563,-0.3105606641956858,0.0203742278171677,0.0155744666379495,1.557446663794954e-05,0.1780574929028276,5.195928111229142e-05,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pd\fold_2020\weight_based_initial_grid\hierarchical_dirichlet_pd\fold_2020,-0.0862424129017656,-0.21828855117079754,0.018597998976286834,False,False,True,0.004444249197402772,0.009446465759538055,0.0160730350762605,0.16899492591003448,0.3479817708333333,0.4072265625,0.0022010271460014674,6.346449632807132
hierarchical_dirichlet_pd,fold_2021,2021,0.1533054363784194,1.4920657197016025,-0.044287462504537,0.0172373722254983,0.0135690316508423,1.3569031650842347e-05,0.2248196458199109,4.858376500331928e-05,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pd\fold_2021\weight_based_initial_grid\hierarchical_dirichlet_pd\fold_2021,-0.05338032179599139,-0.166891355937556,0.018127400811187598,False,False,True,0.004188510701967028,0.00910049563390195,0.0129949783440679,0.15418158778999333,0.32635498046875,0.3968098958333333,0.0014641288433382138,6.674484676791631
hierarchical_dirichlet_pi,fold_2020,2020,0.0832255076171759,0.4133484568405057,-0.3037743143790845,0.0161896369051519,0.011791890602476,1.1791890602476098e-05,0.1621165637459073,0.0358394109392092,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pi\fold_2020\weight_based_initial_grid\hierarchical_dirichlet_pi\fold_2020,-0.070848018988702,-0.17053915421424815,0.025384348792888145,False,False,True,0.004651595727581445,0.009235242893919299,0.0171843492425978,0.18566732565756003,0.3439453125,0.384765625,0.0014652014652014652,2.7081225235157134
hierarchical_dirichlet_pid,fold_2018,2018,-0.0016789988313655,0.0552720974445193,-0.1197983395727059,0.0161832646039727,0.0123349483147765,1.2334948314776589e-05,0.18363576567173,0.0246359755092864,0.0334687848557788,0.2763374644647582,-0.1600514311533952,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pid\fold_2018\weight_based_initial_grid\hierarchical_dirichlet_pid\fold_2018,-0.0351477836871443,-0.2210653670202389,0.04025309158068931,False,False,True,0.004659575811097104,0.009557856374885865,0.0141642312519252,0.17814768817884757,0.34050292968749984,0.3916015625,0.003681885125184094,4.332466067340043
hierarchical_dirichlet_pid,fold_2019,2019,0.1845917801549901,2.0871737564966657,-0.0427318341285561,0.0123863483594978,0.0085663551635618,8.566355163561894e-06,0.2247198199133474,0.0225851484036041,0.2894792499664635,2.175399128210801,-0.0590248897928558,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pid\fold_2019\weight_based_initial_grid\hierarchical_dirichlet_pid\fold_2019,-0.10488746981147343,-0.08822537171413547,0.0162930556642997,False,False,True,0.004785130088872961,0.009450212528463425,0.015379609229664,0.18779634423755173,0.3401896158854167,0.3892045454545454,0.005162241887905605,4.457654761487147
hierarchical_dirichlet_pid,fold_2020,2020,0.0616608661488542,0.3468600915134074,-0.3176517174141231,0.0182186743406682,0.0132838769444156,1.328387694441567e-05,0.1531860629126193,0.0242327346755339,0.1540735266058779,0.5838876110547538,-0.3291586631719726,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pid\fold_2020\weight_based_initial_grid\hierarchical_dirichlet_pid\fold_2020,-0.09241266045702369,-0.23702751954134643,0.011506945757849496,False,False,True,0.004577230545948899,0.009384967631194664,0.0138824214227497,0.179570644175639,0.3383870442708333,0.401611328125,0.0029411764705882353,4.576486576163306
hierarchical_dirichlet_pid,fold_2021,2021,0.1545284883621462,1.4550023613074932,-0.0461825823052085,0.0152571428403769,0.0115108930546666,1.1510893054666611e-05,0.1943244697206998,0.023405553492144,0.2066857581744108,1.6589570756391585,-0.0624148633157246,C:\Users\ivanp\RL for Time-Series Forecasting\data_RLagent_for_Joseph\artifacts\stage0_1\hierarchical_dirichlet_pid\fold_2021\weight_based_initial_grid\hierarchical_dirichlet_pid\fold_2021,-0.052157269812264595,-0.20395471433166534,0.016232281010516103,False,False,True,0.004552000828431302,0.00953330276533957,0.014418966602534,0.17274684743480015,0.3371663411458333,0.39404296875,0.004415011037527594,4.827965914986598
